movie_name,rating,language,year,label_lang_rating,USER RATING
Richie Rich,PG,English,1994,English - Family,5.5
Coneheads,PG,English,1993,English - Family,5.5
Phenomenon,PG,English,1996,English - Family,6.5
Hoodwinked!,PG,English,2005,English - Family,6.5
Fireproof,PG,English,2008,English - Family,6.5
Bicentennial Man,PG,English,1999,English - Family,Not found
The Lego Movie 2: The Second Part,PG,English,2019,English - Family,6.5
An American Tail: Fievel Goes West,G,English,1991,English - Family,6.5
Bedtime Stories,PG,English,2008,English - Family,Not found
Battle Beyond the Stars,PG,English,1980,English - Family,5.5
Minions,PG,English,2015,English - Family,Not found
Star Trek II: The Wrath of Khan,PG,English,1982,English - Family,Not found
Shadows,PG,English,1958,English - Family,5.6
The Man with the Golden Gun,PG,English,1974,English - Family,Not found
The Princess Diaries 2: Royal Engagement,G,English,2004,English - Family,5.9
Surrender,PG,English,1987,English - Family,5.9
Clifford the Big Red Dog,PG,English,2021,English - Family,5.9
Conan the Destroyer,PG,English,1984,English - Family,5.9
All Roads Lead Home,PG,English,2008,English - Family,5.9
Walking Thunder,PG,English,1995,English - Family,5.9
Homeward Bound II: Lost in San Francisco,G,English,1996,English - Family,5.9
Red Sun,PG,English,1971,English - Family,5.9
The Prince and Me,PG,English,2004,English - Family,5.9
Confessions of a Shopaholic,PG,English,2009,English - Family,5.9
Around the World in 80 Days,PG,English,2004,English - Family,5.9
Atlantis: The Lost Empire,PG,English,2001,English - Family,Not found
Unaccompanied Minors,PG,English,2006,English - Family,5.4
Earthquake,PG,English,1974,English - Family,5.9
Nim's Island,PG,English,2008,English - Family,6.0
The Last Song,PG,English,2010,English - Family,6.0
Legal Eagles,PG,English,1986,English - Family,6.0
Moonraker,PG,English,1979,English - Family,Not found
"Honey, I Shrunk the Kids",PG,English,1989,English - Family,Not found
Wreck-It Ralph,PG,English,2012,English - Family,Not found
All the President's Men,PG,English,1976,English - Family,Not found
Beethoven,PG,English,1992,English - Family,5.7
The Addams Family 2,PG,English,2021,English - Family,5.4
On Her Majesty's Secret Service,PG,English,1969,English - Family,Not found
Nanny McPhee,PG,English,2005,English - Family,6.6
Alice's Adventures in Wonderland,G,English,1972,English - Family,5.7
Sister Act 2: Back in the Habit,PG,English,1993,English - Family,5.7
Mission to Mars,PG,English,2000,English - Family,5.7
Tourist Trap,PG,English,1979,English - Family,6.0
The Indian in the Cupboard,PG,English,1995,English - Family,6.0
Parental Guidance,PG,English,2012,English - Family,6.0
Xanadu,PG,English,1980,English - Family,5.4
Bullshot Crummond,PG,English,1983,English - Family,5.9
Road to the Open,PG,English,2014,English - Family,5.7
Night at the Museum: Kahmunrah Rises Again,PG,English,2022,English - Family,Not found
Monster Trucks,PG,English,2016,English - Family,5.7
The Pink Panther,PG,English,2006,English - Family,5.7
The Karate Kid Part III,PG,English,1989,English - Family,5.4
The Spy Who Loved Me,PG,English,1977,English - Family,Not found
Looney Tunes: Back in Action,PG,English,2003,English - Family,5.8
Come Away,PG,English,2020,English - Family,Not found
Born to Be Wild,G,English,2011,English - Family,5.8
Hercules,G,English,1997,English - Family,Not found
Orca,PG,English,1977,English - Family,5.8
Mannequin: On the Move,PG,English,1991,English - Family,Not found
Escape from Planet Earth,PG,English,2013,English - Family,5.8
Treasure Planet,PG,English,2002,English - Family,Not found
Nancy Drew,PG,English,2007,English - Family,5.9
Goosebumps,PG,English,2015,English - Family,Not found
Into the Woods,PG,English,2014,English - Family,Not found
"What's Up, Tiger Lily?",PG,English,1966,English - Family,5.8
The Adventures of Elmo in Grouchland,G,English,1999,English - Family,5.8
Death Defying Acts,PG,English,2007,English - Family,5.8
Gremlins,PG,English,1984,English - Family,Not found
The Wild Life,PG,English,2016,English - Family,5.4
The Lake House,PG,English,2006,English - Family,Not found
A Tale of Two Critters,G,English,1977,English - Family,5.8
The King of Comedy,PG,English,1982,English - Family,Not found
Jaws 2,PG,English,1978,English - Family,5.8
Maverick,PG,English,1994,English - Family,Not found
The Little Vampire,PG,English,2000,English - Family,5.8
What a Girl Wants,PG,English,2003,English - Family,5.8
Black Beauty,G,English,1994,English - Family,5.8
Dennis the Menace,PG,English,1993,English - Family,5.7
The Blue Bird,G,English,1940,English - Family,Not found
Scream Blacula Scream,PG,English,1973,English - Family,Not found
Free Willy,PG,English,1993,English - Family,6.1
Ben & Jody,PG,English,1972,English - Family,5.4
The Sound of Music,G,English,1965,English - Family,Not found
Butch Cassidy and the Sundance Kid,PG,English,1969,English - Family,Not found
Baby's Day Out,PG,English,1994,English - Family,6.2
Pan,PG,English,2015,English - Family,5.7
Little Big League,PG,English,1994,English - Family,6.2
Ben-Hur,G,English,1959,English - Family,5.7
The Elephant Man,PG,English,1980,English - Family,Not found
For Your Eyes Only,PG,English,1981,English - Family,Not found
TMNT,PG,English,2007,English - Family,6.2
The Adventures of Buckaroo Banzai Across the 8th Dimension,PG,English,1984,English - Family,6.2
Hercules,G,English,1997,English - Family,Not found
Spy Kids 2: Island of Lost Dreams,PG,English,2002,English - Family,5.3
Hachi: A Dog's Tale,G,English,2009,English - Family,Not found
The Greatest Showman,PG,English,2017,English - Family,Not found
My Dog the Champion,G,English,2013,English - Family,6.2
Bride & Prejudice,PG,English,2009,English - Family,6.2
Dumbo,G,English,1941,English - Family,6.2
Despicable Me 2,PG,English,2013,English - Family,Not found
The War with Grandpa,PG,English,2020,English - Family,5.7
Ghostbusters II,PG,English,1989,English - Family,Not found
The Mirror Crack'd,PG,English,1980,English - Family,6.2
Chicken Little,G,English,2005,English - Family,Not found
