movie_id,movie_name,genre
tt1399103,Transformers: Dark of the Moon,"Action, Adventure, Sci-Fi"
tt0079574,Moonraker,"Action, Adventure, Sci-Fi"
tt1535108,Elysium,"Action, Drama, Sci-Fi"
tt0311429,The League of Extraordinary Gentlemen,"Action, Adventure, Fantasy"
tt7752126,Brightburn,"Drama, Horror, Mystery"
tt0290334,X2: X-Men United,"Action, Sci-Fi, Thriller"
tt0079944,Stalker,"Drama, Sci-Fi"
tt1055369,Transformers: Revenge of the Fallen,"Action, Adventure, Sci-Fi"
tt1017460,Splice,"Horror, Sci-Fi"
tt0086541,Videodrome,"Horror, Sci-Fi, Thriller"
tt0238380,Equilibrium,"Action, Drama, Sci-Fi"
tt7638348,Boss Level,"Action, Adventure, Comedy"
tt0133240,Treasure Planet,"Animation, Adventure, Family"
tt0414993,The Fountain,"Drama, Mystery, Romance"
tt1046173,G.I. Joe: The Rise of Cobra,"Action, Adventure, Sci-Fi"
tt1430132,The Wolverine,"Action, Sci-Fi"
tt1001526,Megamind,"Animation, Action, Comedy"
tt3731562,Kong: Skull Island,"Action, Adventure, Fantasy"
tt4046784,Maze Runner: The Scorch Trials,"Action, Adventure, Sci-Fi"
tt1291150,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy"
tt0106697,Demolition Man,"Action, Sci-Fi, Thriller"
tt2184339,The Purge,"Horror, Sci-Fi, Thriller"
tt10944760,Titane,"Drama, Horror, Sci-Fi"
tt1502712,Fantastic Four,"Action, Adventure, Sci-Fi"
tt3829266,The Predator,"Action, Adventure, Sci-Fi"
tt0114508,Species,"Action, Horror, Sci-Fi"
tt1843303,The VelociPastor,"Action, Adventure, Comedy"
tt1098327,Dragonball Evolution,"Action, Adventure, Fantasy"
tt0371724,The Hitchhiker's Guide to the Galaxy,"Adventure, Comedy, Sci-Fi"
tt0209958,The Cell,"Crime, Horror, Sci-Fi"
tt4500922,Maze Runner: The Death Cure,"Action, Adventure, Sci-Fi"
tt0831387,Godzilla,"Action, Adventure, Sci-Fi"
tt0234215,The Matrix Reloaded,"Action, Sci-Fi"
tt11389872,Kingdom of the Planet of the Apes,"Action, Sci-Fi"
tt0167190,Hellboy,"Action, Adventure, Fantasy"
tt1964418,Tomorrowland,"Action, Adventure, Family"
tt1077258,Planet Terror,"Action, Comedy, Horror"
tt5884052,Pokémon: Detective Pikachu,"Action, Adventure, Comedy"
tt1334260,Never Let Me Go,"Drama, Romance, Sci-Fi"
tt1815862,After Earth,"Action, Adventure, Sci-Fi"
tt2866360,Coherence,"Drama, Mystery, Sci-Fi"
tt1219827,Ghost in the Shell,"Action, Crime, Drama"
tt1408101,Star Trek Into Darkness,"Action, Adventure, Sci-Fi"
tt1187064,Triangle,"Fantasy, Mystery, Sci-Fi"
tt0453467,Deja Vu,"Action, Crime, Sci-Fi"
tt0087803,1984,"Drama, Sci-Fi"
